model,precision,recall,f1_score,support,vectorizer
MLP,0.4264563881213219,0.36330935251798563,0.38342662447573334,,medBERT
MultiOutput-AdaBoost-GBoost,0.47373244261733466,0.11510791366906475,0.1724923361948532,,medBERT
MLP,0.3233246930691916,0.2733812949640288,0.29207384257731067,,BERT-base-uncased
MultiOutput-AdaBoost-GBoost,0.25484469567203377,0.06474820143884892,0.10022148201013464,,BERT-base-uncased
MLP,0.3507498629446816,0.302158273381295,0.31566386992456946,,bart-large
MultiOutput-AdaBoost-GBoost,0.3104916067146283,0.07913669064748201,0.1209243568836018,,bart-large
